,cat
755744,15
419457,17
806916,1
504507,8
908607,20
741539,7
288424,1
886029,11
240796,1
936552,8
81265,20
315985,1
210228,20
764284,1
842084,20
313010,16
630946,1
621109,8
758695,1
773298,1
62507,8
622196,6
693880,13
99345,8
61584,16
662427,20
592566,8
473996,8
147388,8
428747,7
693740,26
256816,8
116217,8
343409,1
18132,16
48266,16
4928,6
491211,16
78058,22
668744,15
624319,20
484835,1
943039,8
863689,8
63982,1
263697,26
345847,8
41222,8
362692,20
918420,1
728172,15
654184,1
74742,25
255965,1
115498,8
520052,7
548527,8
841728,20
629774,20
572522,11
125058,1
167552,1
287404,8
146357,26
618771,20
169904,13
309610,7
9725,21
468486,13
307287,16
738851,20
617098,7
261313,8
277586,4
930862,19
247815,8
6721,22
213700,1
282095,8
364383,11
289619,8
607089,8
156274,10
642209,20
403488,20
922408,6
485494,8
244110,8
365733,15
571504,13
259301,15
942412,1
930983,17
684487,13
34101,8
721153,13
28080,19
848278,20
852488,26
97364,1
532791,15
435497,8
694392,16
698724,1
926192,1
374960,6
934950,7
546646,8
922387,7
330200,6
919389,12
583951,8
665217,1
862529,20
785299,13
932377,20
626763,16
91325,20
600514,21
297733,16
869617,26
224915,1
822279,20
566989,16
835397,15
119786,25
306441,20
603844,6
782247,8
762388,19
126923,15
915413,22
180070,1
378585,1
145707,8
740960,20
807055,26
575070,22
79456,16
122540,1
612392,8
122378,16
211881,20
927779,19
414757,7
80901,8
240733,8
617356,13
886089,8
515048,8
432379,15
101056,20
815630,22
335738,16
680243,20
175698,22
10865,1
420055,26
158723,3
736190,7
575213,8
271538,1
913799,25
314959,20
492934,1
928592,12
707115,8
668855,8
228410,1
425310,20
826079,12
373309,8
4449,8
726251,20
539958,26
386860,8
783902,8
245542,20
921720,19
25301,1
174685,9
620307,1
76893,6
608215,8
242101,8
44923,20
371016,20
26873,15
558669,16
279785,27
316768,20
556069,19
244394,20
515601,1
627100,20
841706,20
616292,1
588524,8
386337,4
138940,8
893796,8
423218,3
331591,8
241050,8
921686,16
950066,16
781970,8
785688,13
776684,13
165348,19
563233,6
330893,6
356649,7
65806,16
933337,16
927609,20
378975,16
813013,13
949649,16
55760,8
319193,8
432133,8
249782,20
209024,16
102618,4
121513,11
245288,13
932510,6
251724,4
838802,1
634171,1
269549,16
386805,8
751839,6
382827,8
163058,11
617363,8
158882,15
473715,8
245798,13
492530,15
895857,20
21206,1
496520,16
681351,6
820500,16
177646,8
581265,1
569842,13
573341,15
207561,8
360460,15
617512,7
134184,20
237567,6
458049,19
836668,8
590195,1
420519,8
330095,8
694197,8
209434,15
444227,10
814684,20
479677,25
603022,8
873655,11
756859,8
390541,20
900752,8
747031,8
97605,13
756885,13
360013,13
316906,20
327882,20
338304,13
771977,1
778881,20
941656,16
874857,1
418378,8
347711,26
910492,20
331223,8
273892,4
1230,19
494460,4
540141,7
770418,8
166343,1
464941,8
168994,3
508736,16
353620,26
423525,8
879716,21
74471,8
331482,19
161970,1
878298,8
225662,1
867198,19
696625,8
195630,16
585373,1
678432,6
294191,20
882864,6
82716,8
909775,13
926641,19
148680,16
887104,26
877931,16
805650,25
162757,13
518679,1
599608,6
16739,20
537462,26
338011,8
381299,16
553044,8
949401,16
520295,25
874673,8
249983,25
759476,20
288556,22
207347,12
224747,6
359875,13
828628,6
774600,8
440185,6
568351,1
899146,8
795949,13
400041,1
706277,8
127995,16
407236,20
334119,7
759100,2
815747,4
809976,8
471072,15
155649,16
440702,8
471611,16
350944,8
145885,1
757688,18
457567,8
423618,15
731669,8
471454,1
927648,26
244107,1
480271,17
68347,13
113105,26
155079,19
735351,19
936709,19
932425,26
284211,8
648242,20
297839,6
18492,8
563354,15
23309,15
859130,11
152765,26
913193,20
156972,6
485470,22
941075,1
42930,8
398523,25
921341,16
746056,16
232156,7
719166,8
614042,20
88202,13
653278,8
90512,13
322373,26
532092,8
223094,15
174532,15
605803,25
344088,20
770522,20
177622,16
125849,8
22243,16
87248,20
329932,20
189210,15
883718,16
573819,16
737419,8
127263,15
454001,1
231610,6
382911,12
726012,1
724069,16
865638,8
57880,8
925312,6
614311,8
682348,26
18728,6
819926,21
69555,20
180428,15
646343,1
365966,22
40255,20
503858,20
674505,1
614352,11
369556,25
801476,20
259924,15
312841,8
543652,1
393189,21
972050,26
525782,1
90647,1
440323,20
49387,6
316696,15
881000,8
670499,19
808432,16
180751,8
88062,8
391575,8
238236,8
728275,20
219502,1
443292,16
161264,16
543799,16
525008,13
85565,8
399302,16
313989,20
566719,16
610847,1
148298,1
516587,8
233686,26
929246,8
729003,8
878684,13
603368,26
165471,15
724023,20
129336,8
544634,1
82283,20
931620,4
179239,8
782918,8
6482,20
335904,20
431227,19
180013,20
13843,12
691599,20
438690,20
156999,8
886016,15
495355,8
331785,9
905395,15
577566,6
213479,20
817962,8
598500,6
282420,16
681904,8
598344,12
705209,8
601203,12
184671,8
687130,16
930213,25
597062,20
227764,8
264722,15
687389,1
169371,6
161773,8
519193,8
854879,1
793459,1
762308,17
512821,11
330004,20
592780,8
246767,20
331300,14
786104,20
196986,8
840974,16
188398,8
435538,16
57710,8
769244,16
821792,7
461475,8
104964,25
593728,8
684752,20
390650,26
812632,8
840377,8
254486,8
348405,20
923492,1
176959,22
703039,1
250665,1
356043,6
708376,13
900923,20
182256,13
951516,16
611079,20
349122,13
685646,8
463650,19
753099,8
274132,9
316927,1
351837,9
849048,20
359111,8
597977,26
617893,16
671432,6
199404,9
338719,12
949699,16
847478,25
481351,6
107215,1
572786,8
842230,11
133696,12
934724,8
437750,22
82515,6
851582,20
695399,11
203263,8
266550,26
926029,7
364025,20
759549,3
573926,8
627823,13
760357,1
473887,16
312718,8
