main_photo,name,type,category_l2,category_l4,is_markup,target,stratify_column,__index_level_0__,
https://cdn1.ozone.ru/s3/multimedia-d/6564759805.jpg,Фильтр АКПП HYUNDAI GETZ 02-10/ELANTRA 1.8 00-06/MATRIX 1.6 01-08/KIA RIO 1.4 05-11/CERATO 1.6 04-06,Ремкомплект.двигателя.мототехники,,,false,0,nan_False_0,6762112,
https://cdn1.ozone.ru/s3/multimedia-r/6700269015.jpg,"Масло оливковое Urzante Light рафинированное, с добавлением оливкового нерафинированного, 250 мл",Растительное.масло,,,false,1,nan_False_1,2248350,
https://cdn1.ozone.ru/multimedia/1026904772.jpg,Свитшот Reebok Cl A Crew,Оповещатель,,,false,0,nan_False_0,2940012,
https://cdn1.ozone.ru/s3/multimedia-1-r/7000802343.jpg,Клин съемник для снятия пластика в авто,Съемник,,,false,1,nan_False_1,7671340,
https://cdn1.ozone.ru/s3/multimedia-1-u/7120280262.jpg,HXD Пыльник,Олимпийка,,,false,0,nan_False_0,795605,
https://cdn1.ozone.ru/s3/multimedia-1-d/7196434393.jpg,Кроссовки Air Jordan JT 2 Баскетбольная обувь Oрганизация 2 Jayson Tatum 2 xiaoye,Моноласта,Обувь,Кроссовки,true,0,Обувь_True_0,230835,
https://cdn1.ozone.ru/s3/multimedia-1-o/7257717204.jpg,Подарочный праздничный пакет на День рождения 14 февра,Пакет.подарочный,,,true,1,nan_True_1,934908,
https://cdn1.ozone.ru/s3/multimedia-1-r/7110647919.jpg,Подвесной держатель для медалей,Стеллаж.для.игрушек,Дом и сад,Ящик для игрушек,true,0,Дом и сад_True_0,150710,
https://cdn1.ozone.ru/s3/multimedia-y/6586190962.jpg,Свидетельство о венчании в твердом переплете с тиснением,Сменный.блок.для.когтеточек,,,false,0,nan_False_0,559188,
https://cdn1.ozone.ru/s3/multimedia-j/6808504267.jpg,"Силиконовая скатерть прозрачная на стол, клеенка прямоугольная ПВХ 160х120 см",Трость-стул,,,false,0,nan_False_0,6055908,
https://cdn1.ozone.ru/s3/multimedia-w/6666491192.jpg,Отпариватель для одежды вертикальный GALAXY LINE GL6214,Скульптор.для.лица,,,false,0,nan_False_0,2218294,
https://cdn1.ozone.ru/s3/multimedia-8/6649327016.jpg,Кроссовки adidas,Кроссовки,Обувь,Кроссовки,false,1,Обувь_False_1,755744,
https://cdn1.ozone.ru/s3/multimedia-w/6448202876.jpg,"Набор для глинтвейна, смесь для глинтвейна, глёг, грог",Набор.для.приготовления.настойки,Продукты питания,"Смесь приправ, специй и трав",true,1,Продукты питания_True_1,419457,
https://cdn1.ozone.ru/multimedia/1009939260.jpg,"Inakustik Аудиокабель, 10 м",Стойка.стабилизатора,,,false,0,nan_False_0,3079380,
https://cdn1.ozone.ru/s3/multimedia-z/6842301047.jpg,Наушники меховые Curtine Мишка,Амбушюры.для.наушников,,,false,0,nan_False_0,7360032,
https://cdn1.ozone.ru/s3/multimedia-1-y/7064747350.jpg,"Трубка стеклоомывателя2шт, Honda Бачок арт. 76802-SJD-003-76802-SJD-003,",Трансивер,,,false,0,nan_False_0,5197438,
https://cdn1.ozone.ru/s3/multimedia-4/6454795960.jpg,"Багажник Атлант для Ford Connect / Форд Коннект Минивэн 2008-н.в. на рейлинги - аэродинамическая дуга, серебристая - без замка",Багажный.бокс.(автобокс),Автотовары,Багажный бокс (автобокс),true,1,Автотовары_True_1,806916,
https://cdn1.ozone.ru/s3/multimedia-1-9/7228418121.jpg,"Кружка латте керамическая большая для чая и кофе с прикольным принтом ""Горный велосипедист, который принимает перерыв в своем путешествии на высоте"" 480 мл.",Кружка,Дом и сад,Кружка,false,1,Дом и сад_False_1,504507,
https://cdn1.ozone.ru/s3/multimedia-1-e/7211602022.jpg,"Фотообои моющиеся ударопрочные ""Космос в стиле графити с изображением машин времени и технологий будущего, выполненных в ярком и красочном стиле"" 600x300 см. флизелиновые на стену",Фотообои,Строительство и ремонт,Фотообои,false,1,Строительство и ремонт_False_1,908607,
https://cdn1.ozone.ru/s3/multimedia-1-o/7227448548.jpg,Деревянная игрушка-горка для хомячка,Подарочный.набор.игрушек,Детские товары,Подарочный набор игрушек,false,1,Детские товары_False_1,741539,
https://cdn1.ozone.ru/s3/multimedia-1-x/7041048153.jpg,"Колодки тормозные дисковые передние для Хендай i30 2 2012-2017, Hyundai i30 2 колодки тормозные дисковые передние STELLOX 000 436B-SX, oem 58101A6A70",Колодки.тормозные,Автотовары,Тормозные колодки дисковые и барабанные,false,1,Автотовары_False_1,288424,
https://cdn1.ozone.ru/s3/multimedia-1-n/7171137239.jpg,Крышки фар Hyundai TUCSON 2004-2010 удлиненные под светодиодные LED лампы,Средство.для.долговременной.укладки.волос,,,false,0,nan_False_0,6087387,
https://cdn1.ozone.ru/s3/multimedia-1-e/7151219150.jpg,Подсветка для телевизора Philips 55PFL5537H_12 1x80-676мм,Корпусная.деталь.для.СВЧ,Электроника,Запчасти для телевизоров,true,0,Электроника_True_0,810333,
https://cdn1.ozone.ru/s3/multimedia-1-6/7236114198.jpg,The Tragedy of Eva Mott David Adams Richards 9780385696319,Печатная.книга:.Молодежная.художественная.литература,Книги,Печатная книга: Молодежная художественная литература (Young Adult),false,1,Книги_False_1,886029,
https://cdn1.ozone.ru/multimedia/1010652425.JPG,Fissman Топорик кухонный,Топорик.кухонный,,,false,1,nan_False_1,2008836,
https://cdn1.ozone.ru/s3/multimedia-4/6514148224.jpg,"Концентрат квасного сусла, 0.65кг. На 25 литров кваса",Штифт.крепления.автомобильный,,,false,0,nan_False_0,478193,
https://cdn1.ozone.ru/s3/multimedia-v/6382824499.jpg,Накладной замок невидимка Selock Hook с возможностью установки на раздвижные двери,Шланг.для.заправки,,,false,0,nan_False_0,6333677,
https://cdn1.ozone.ru/s3/multimedia-1-q/7021926026.jpg,"Решетка газонная пластиковая Gidrolica Eco Standart зеленая C250 700х400х32,8 мм",Тестер.жесткости.воды,,,false,0,nan_False_0,886159,
https://cdn1.ozone.ru/s3/multimedia-1-f/7080253467.jpg,"Фильтр воздушный для Ауди А3 8V 2012-2020, Audi A3 8V фильтр воздушный FILTRON AP 139/5, oem 5Q0129620B",Фильтр.воздушный,Автотовары,Автофильтры,false,1,Автотовары_False_1,240796,
https://cdn1.ozone.ru/s3/multimedia-1-9/7158343869.jpg,Пуховик Nike,Курс.по.заработку.в.сети,Одежда,Пуховик,true,0,Одежда_True_0,863975,
https://cdn1.ozone.ru/s3/multimedia-1-u/7182077322.jpg,Тенденция ретро кожаные амортизирующие нескользящие износостойкие потопоглощающие повседневные кроссовки с низким верхом-Mizuno Speed 2K,Фиксатор,Обувь,Кроссовки,true,0,Обувь_True_0,145487,
https://cdn1.ozone.ru/s3/multimedia-1-q/7146949886.jpg,"Крышка бачка охлаждающей жидкости Renault Cabriolet, Chamade, Clio, Espace, Laguna, Megane, Spider, Trafic (Рено Кабриолет, Чамад, Клио, Эспейс, Лагуна, Меган, Спайдер, Трафик)",Мотор.стеклоочистителя.для.грузовика,Автотовары,Система очистки стекол и фар грузовика,false,0,Автотовары_False_0,540934,
https://cdn1.ozone.ru/s3/multimedia-1-9/7144466661.jpg,"Модульная картина на холсте ""Осень поросший мхом камень у дерева, покрытого листьями"" триптих на подрамнике 280х175 см. для интерьера",Картина,Дом и сад,Картина,false,1,Дом и сад_False_1,936552,
https://cdn1.ozone.ru/s3/multimedia-1-2/7211596862.jpg,"Фотообои моющиеся ударопрочные на кухню ""С морозными пейзажами и горячими напитками"" 400x300 см. флизелиновые на стену",Фотообои,Строительство и ремонт,Фотообои,false,1,Строительство и ремонт_False_1,81265,
https://cdn1.ozone.ru/s3/multimedia-s/6583152520.jpg,Шланги для ремонта переднего и заднего контуров автокондиционера на автомобиль Митсубиси Паджеро 4го поколения,Шланг.охладителя.наддува.воздуха,,,false,1,nan_False_1,760173,
https://cdn1.ozone.ru/s3/multimedia-1-e/6930193910.jpg,Инструмент для резки труб,Нож.канцелярский,Канцелярские товары,Нож канцелярский,true,0,Канцелярские товары_True_0,673032,
https://cdn1.ozone.ru/s3/multimedia-1-e/7036478690.jpg,"Диск тормозной задний для Хендай i40 2011-2020, Hyundai i40 диск тормозной задний BREMBO 08.C250.21, oem 584113Z100",Диск.тормозной,Автотовары,Тормозные диски и барабаны,false,1,Автотовары_False_1,315985,
https://cdn1.ozone.ru/s3/multimedia-1-e/7077568262.jpg,Походный туристический набор ложка вилка мультитул 4 в 1 зеленый,Подставка.под.компьютерную.мышь,Спорт и отдых,"Столовые приборы для туризма, пикника",true,0,Спорт и отдых_True_0,886736,
https://cdn1.ozone.ru/s3/multimedia-1-8/6964186580.jpg,"Беспроводные спортивные наушники, HD-звонки 48 часов игрового времени с сенсорным управлением и заушными крючками для бега/работы/игр",Bluetooth-гарнитура,,,false,1,nan_False_1,2835925,
https://cdn1.ozone.ru/s3/multimedia-1-z/7049019491.jpg,"Материнская плата BN41-02528A BN94-11057A, для телевизора Samsung UE55KU6470U",Помощь.на.дороге,Электроника,Запчасти для телевизоров,true,0,Электроника_True_0,439993,
https://cdn1.ozone.ru/s3/multimedia-1-a/7213615714.jpg,"Фотообои моющиеся ударопрочные ""Абстракция в стиле импрессионизм, изображающие утренний туман в долине с восходящим солнцем и яркими цветами"" 300x300 см. флизелиновые на стену",Фотообои,Строительство и ремонт,Фотообои,false,1,Строительство и ремонт_False_1,210228,
https://cdn1.ozone.ru/s3/multimedia-1-3/7121954847.jpg,4ШТ 12633784 Топливная форсунка Common Rail Инжектор для 2010-2017 CHEVROLET-BUICK-GMC 2.4L,Жилет.для.очков.виртуальной.реальности,Автотовары,Расходные материалы,true,0,Автотовары_True_0,212409,
https://cdn1.ozone.ru/s3/multimedia-1-j/7178305735.jpg,Амортизатор KIA CEED 06 перправгаз,Мика.косметическая,Автотовары,Автозапчасти подвески,true,0,Автотовары_True_0,399379,
https://cdn1.ozone.ru/s3/multimedia-v/6354257923.jpg,Шины Continental SportContact 5 FR 245/40 R20 95W,Шины.для.легковых.автомобилей,Автотовары,Шины,false,1,Автотовары_False_1,764284,
https://cdn1.ozone.ru/s3/multimedia-1-q/7198047746.jpg,"Фотообои моющиеся ударопрочные ""Цветы в стиле витражный портрет, витражные цветы, чувство покоя, оазис в интерьере"" 400x300 см. флизелиновые на стену",Фотообои,Строительство и ремонт,Фотообои,false,1,Строительство и ремонт_False_1,842084,
https://cdn1.ozone.ru/s3/multimedia-j/6075178495.jpg,"Литий-ионный аккумулятор 3000 мАч - 12 вольт, для видеокамер, аккумулятор 12 вольт литий ионный,  зарядка литий ионных аккумуляторов 12 вольт",Аксессуар.для.хранения.дисков,,,false,0,nan_False_0,333606,
