main_photo,name,type,category_l2,category_l4,is_markup,target,stratify_column,__index_level_0__,,
https://cdn1.ozone.ru/s3/multimedia-1-q/7195946930.jpg,"Угольник-переходник ROMMER ВПр-НР, 15х1_2, из нержавеющей стали прессовой (2шт.)",Удлинитель.сантехнический,Строительство и ремонт,Фитинг сантехнический,true,1,Строительство и ремонт_True_1,446046,,
https://cdn1.ozone.ru/s3/multimedia-1-3/6969923031.jpg,"Ножницы Волна , 9"", 23 см, шаг - 18 мм, цвет чёрный",Пирог,Хобби и творчество,Набор для шитья одежды,true,0,Хобби и творчество_True_0,50527,,
https://cdn1.ozone.ru/s3/multimedia-w/6534042392.jpg,"15 шт. Мелки школьные Гамма, цветные, 10шт., мягкие, круглые, картонная упаковка, европодвес",Проживание.в.пансионате,Канцелярские товары,Мелки,true,0,Канцелярские товары_True_0,558059,,
https://cdn1.ozone.ru/s3/multimedia-1-z/7087980779.jpg,Бра LED,Подсветка.для.картин,Строительство и ремонт,Настенный светильник,true,1,Строительство и ремонт_True_1,52215,,
https://cdn1.ozone.ru/s3/multimedia-1/6805452637.jpg,"Накидки-квадраты для Ауди с3 (2006 - 2008) хэтчбек 3 двери _ Audi S3 на передние сиденья меховые, Короткий ворс, Бежевый",Спинка.автомобильного.сиденья,Автотовары,Накидка на сиденье,true,0,Автотовары_True_0,309604,,
https://cdn1.ozone.ru/s3/multimedia-d/6800676493.jpg,4 Пылезащитный статический вал TTC tea V2,Кейкапы.для.механической.клавиатуры,Электроника,Аксессуары для компьютерных манипуляторов,true,0,Электроника_True_0,119004,,
https://cdn1.ozone.ru/s3/multimedia-1-6/6997750854.jpg,"10000 # точильный камень, высококачественный профессиональный корундовый устойчивый инструмент",Точильный.камень.для.гриндера,Строительство и ремонт,"Точильный камень, точилка",true,1,Строительство и ремонт_True_1,188747,,
https://cdn1.ozone.ru/s3/multimedia-1-3/7122442107.jpg,Н-р защиты д_роликовых коньков Safe fit teens 1.0 pink S,Боевая.рубаха,Спорт и отдых,Экипировка и защита,true,0,Спорт и отдых_True_0,919525,,
https://cdn1.ozone.ru/s3/multimedia-i/6845398362.jpg,Ширма перегородка для зонирования комнаты. Перегородка подвесная модульная . Размер 2500* 1100 мм- 3 панели +комплект для настенного и крепления.,Ширма,Дом и сад,Ширма,true,1,Дом и сад_True_1,178542,,
https://cdn1.ozone.ru/s3/multimedia-1-y/7196046550.jpg,"Фотообои моющиеся ударопрочные ""Город в стиле неоновый, с ночным климатом и звуками, создающими романтическое настроение для вечерних прогулок"" 300x300 см. флизелиновые на стену",Держатель.для.штанги,Строительство и ремонт,Фотообои,true,0,Строительство и ремонт_True_0,161038,,
https://cdn1.ozone.ru/s3/multimedia-l/6872224593.jpg,Трафарет плитка 15х15 см,Проживание.в.пансионате,Хобби и творчество,"Трафареты, штампы",true,0,Хобби и творчество_True_0,718590,,
https://cdn1.ozone.ru/s3/multimedia-p/6325293325.jpg,слипоны женские,Полуботинки,Обувь,"Кеды, слипоны, сникеры",true,1,Обувь_True_1,55537,,
